id,language,tweet is reply,number of hashtags in tweet,number of cashtags in tweet,number of mentions in tweet,number of urls in tweet,number of photos in tweet,number of videos in tweet,presence of quoted tweet in tweet,number of replies to tweet,number of retweets to tweet,number of likes to tweet,number of words in tweet,number of special characters (ASCII) in tweet,number of non-ASCII characters in tweet,number of uppercase characters in tweet,number of digits in tweet,language in tweet is english,polarity of tweet,subjectivity of tweet,bot,number of tweets
270861589,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,36.0,0.0,1.0,0.1,0.38,1,1
1942356913,en,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,2.62,0.0,7.75,0.88,1.0,-0.08,0.38,0,8
819741619905654784,en,0.79,0.0,0.0,0.0,0.0,0.21,0.16,0.0,0.42,0.47,5.32,6.16,1.53,1.63,1.21,0.21,0.68,0.04,0.06,0,19
182939701,en,0.02,0.0,0.0,0.0,0.8,0.04,0.04,0.0,0.02,0.0,0.03,12.44,2.98,0.42,2.99,0.05,0.98,0.29,0.44,0,118
3233474718,en,0.5,0.75,0.0,0.0,0.12,0.38,0.38,0.12,0.62,0.0,2.62,10.88,3.88,0.5,3.0,1.5,0.88,0.0,0.0,0,8
2916143197,en,0.59,0.06,0.0,0.06,0.06,0.12,0.12,0.0,0.71,0.18,4.18,8.71,1.35,0.94,2.06,0.0,0.88,-0.12,0.22,0,17
510339821,en,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.5,11.0,2.0,0.0,2.0,0.0,1.0,0.42,0.55,1,2
2859092602,en,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.5,1.0,0.0,1.5,1.0,0.5,-0.25,0.5,0,2
1700664565,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,1,1
329342669,en,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.14,0.14,6.57,1.29,1.14,1.0,0.0,0.86,0.06,0.19,0,7
108970306,en,0.09,0.04,0.0,0.04,0.0,0.04,0.04,0.7,0.0,0.04,0.0,6.04,3.43,0.13,1.09,0.13,0.09,0.02,0.07,0,23
1860689335,en,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,32.0,4.0,0.5,7.5,6.0,1.0,-0.03,0.1,1,2
265723826,en,0.28,0.01,0.0,0.08,0.04,0.11,0.11,0.16,0.24,0.44,1.81,12.21,1.65,2.27,7.88,0.51,0.89,0.07,0.39,0,510
759100312321916929,en,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.33,5.0,0.67,0.5,2.67,2.33,0.67,0.08,0.1,1,6
1132658952,en,0.88,0.08,0.0,0.04,0.0,0.02,0.02,0.0,0.15,0.03,1.3,9.3,3.11,0.01,5.6,0.86,0.83,0.07,0.23,0,161
3438571754,en,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
37751238,en,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.91,14.74,1.65,1.09,2.22,0.43,1.0,0.05,0.29,0,23
56265313,en,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,17.0,0.0,1.0,0.0,0.0,1,1
107934683,en,0.14,0.71,0.0,1.29,0.14,0.14,0.14,0.57,0.0,0.0,0.14,16.57,4.57,1.43,7.43,0.0,1.0,-0.05,0.17,1,7
833931713998942209,en,0.7,0.03,0.0,0.0,0.0,0.11,0.07,0.05,0.35,0.18,5.8,12.91,2.64,1.26,3.42,0.9,0.92,0.1,0.34,0,88
448009084,en,0.31,0.0,0.0,0.0,0.12,0.14,0.18,0.04,0.76,3.15,17.09,6.66,1.26,0.69,3.38,0.29,0.83,0.09,0.27,0,105
286545384,en,0.3,0.0,0.0,0.0,0.0,0.01,0.01,0.08,0.34,0.32,1.54,8.85,0.78,0.51,3.22,0.19,0.82,0.04,0.38,0,545
45577805,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,0.0,0.0,0.65,0.88,0,1
2821601710,en,0.97,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.14,0.02,1.31,11.42,4.99,0.27,4.99,0.7,0.03,0.01,0.03,0,130
3490311803,en,0.23,0.87,0.12,0.27,0.81,0.0,0.0,0.16,0.22,0.54,0.81,28.18,12.58,0.2,27.55,8.61,0.98,0.09,0.32,0,291
195932558,en,0.01,0.05,0.0,0.08,0.24,0.06,0.11,0.05,0.04,0.15,0.53,7.24,0.61,0.84,3.34,0.18,0.92,0.15,0.24,0,97
328824222,en,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.29,1.86,21.43,0.57,3.71,2.29,1.14,1.0,0.13,0.41,1,7
