id,language,number of days between account creation and account labelling,presence of digits in name,presence of special characters (ASCII) in name,presence of non-ASCII characters in name,length of name,presence of digits in screen name,length of screen name,presence of url,number of followers,number of friends,number of listed,number of favourites,number of statuses,verified account,presence of banner,presence of default profile,presence of default profile image,number of urls in description,number of hashtags in description,number of cashtags in description,number of mentions in description,number of words in description,number of special characters (ASCII) in description,number of non-ASCII characters in description,number of uppercase characters in description,number of digits in description,language in description is english,polarity of description,subjectivity of description,bot
270861589,en,2346,0,0,0,10,0,11,0,6,12,0,2148,2962,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0.0,0.0,1
621780088,en,1882,0,0,0,11,0,10,0,220,0,1,2419,3919,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
703798067586338816,en,1174,1,0,0,6,1,12,0,404,313,27,31688,24867,0,0,1,0,0,0,0,0,7,3,0,6,0,1,0.5,0.6,0
28990466,en,3646,0,0,0,12,0,11,1,109,320,0,1683,2951,0,0,0,0,0,0,0,0,10,1,0,1,0,1,0.0,0.0,0
1081988005,en,1682,0,0,0,7,0,8,0,22,43,0,2490,3417,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
3231843218,en,816,0,0,0,15,1,13,0,4,14,2,2351,3141,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1942356913,en,2040,0,0,0,14,0,14,0,49,226,0,2068,4191,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
3024502371,en,1557,0,0,0,5,0,12,0,577,440,11,43522,20583,0,1,1,0,0,0,0,0,12,1,0,0,0,1,0.1,0.4,0
576577728,en,1932,0,1,0,9,1,10,0,78,0,5,2770,4936,0,1,0,0,0,0,0,0,2,1,0,1,2,0,0.0,0.0,1
819741619905654784,en,854,0,0,1,14,0,15,1,198,151,0,5537,993,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
151197830,en,2640,0,1,0,20,1,9,0,135,0,1,3353,5832,0,1,0,0,0,0,0,0,9,2,0,2,0,1,0.0,0.0,1
875812978523811841,en,16,0,0,1,13,1,15,0,0,0,0,64,378,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
232458864,en,2428,0,0,0,12,0,15,0,18,0,0,649,1047,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
4676381672,en,603,0,0,0,10,1,10,0,12,80,0,2168,3034,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
107694790,en,2769,0,0,0,11,1,10,1,22,29,0,955,1393,0,0,0,0,0,0,0,0,16,4,0,4,0,1,0.17,0.45,1
33766295,en,3047,0,0,0,12,1,10,0,17,176,0,1049,1477,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
85521291,en,2858,0,0,0,10,1,8,0,66,0,1,2361,3325,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
391873966,en,2139,0,0,0,6,1,10,0,211,0,2,3772,6159,0,1,1,0,0,0,0,0,4,1,4,1,0,0,0.25,1.0,1
894515628136173569,en,29,0,0,0,12,1,14,0,0,0,0,425,886,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
52113259,en,3550,0,0,0,8,0,9,0,508,443,0,2180,12058,0,1,0,0,0,0,0,0,3,0,1,5,0,1,0.0,0.0,1
17477290,en,3194,1,0,0,9,1,9,0,6,6,1,1423,2055,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
30082193,en,3059,0,0,0,13,1,8,0,20,0,0,2155,3185,0,0,1,0,0,0,0,0,2,0,0,0,0,1,-0.4,0.6,1
182939701,en,3186,1,1,1,17,1,10,1,1010,1679,8,64,30482,0,1,0,0,0,7,0,0,14,10,1,18,13,1,0.0,0.0,0
3233474718,en,862,0,0,0,15,0,10,0,175,160,3,1361,1074,0,1,1,0,0,0,0,0,2,1,0,1,2,1,0.0,0.0,0
4172377529,en,1281,0,0,0,13,1,11,0,53,188,1,485,236,0,0,1,0,0,0,0,0,10,5,0,4,0,1,0.0,0.0,0
2916143197,en,1627,0,0,0,7,0,9,0,244,250,0,7380,5058,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
782206295650820096,en,272,0,0,0,13,1,15,0,0,0,0,66,120,0,0,1,0,0,0,0,0,12,15,0,9,0,1,0.6,0.95,0
1321719476,en,1890,0,0,0,17,0,11,0,315,501,1,1746,2527,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
772223231105400834,en,299,0,0,0,15,0,11,0,0,0,0,109,290,0,0,1,0,0,0,0,0,18,4,0,0,0,1,-0.2,0.4,0
600596859,en,1905,0,0,0,18,0,12,0,10,17,1,2348,3251,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
510339821,en,2164,0,0,0,12,1,11,0,20,35,0,1167,1703,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
76358531,en,2893,0,0,1,15,1,13,0,61,0,1,2144,3381,0,1,0,0,0,0,0,0,11,2,2,4,2,0,0.0,0.0,1
2387393154,en,1260,0,0,0,14,0,12,0,14,0,0,378,493,0,1,1,0,0,0,0,0,2,3,0,2,0,1,0.0,0.0,1
2859092602,en,1656,0,0,0,5,0,9,0,217,229,1,21025,7771,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0
247232285,en,2389,0,0,0,4,0,7,0,41,485,0,533,801,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
772472261391577089,en,298,0,0,0,20,1,15,0,0,0,0,44,125,0,0,1,0,0,0,0,0,6,4,0,1,0,0,0.0,0.0,0
284659391,en,2313,0,0,0,10,1,9,0,2,20,1,1537,2211,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1700664565,en,2090,0,0,0,11,1,15,0,97,268,3,3256,4363,0,1,0,0,0,0,0,0,8,2,2,32,0,0,0.06,0.5,1
329342669,en,2243,0,0,0,13,0,10,0,198,62,0,2213,9879,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
108970306,en,3390,0,0,0,9,0,9,0,185,368,1,819,1655,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0.25,0.48,0
894666092710383618,en,29,0,0,0,10,1,13,0,0,0,0,338,665,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
831674135789047808,en,298,0,0,0,6,0,9,0,9,22,0,1197,1683,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
792401974620622848,en,292,1,0,0,1,1,10,0,0,0,0,1022,985,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
30961613,en,2456,0,0,0,10,0,9,0,73,0,6,1,412,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
407579561,en,2689,0,0,0,9,0,12,0,18,79,4,1255,1217,0,1,0,0,0,0,0,0,17,16,0,18,0,1,0.0,0.0,1
111576906,en,2757,0,0,0,11,1,10,0,13,0,1,1312,1933,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
