[Decision Tree]
accuracy: 0.8201528175740209
std: 0.004169795597505869

precision: 0.8206146025177592
std: 0.011154113266054156

recall: 0.8306258479298656
std: 0.012980664847762878

f1: 0.8254390726053943
std: 0.004730768690055407





[Extra Trees]
accuracy: 0.8253104106972302
std: 0.0030263571189598493

precision: 0.8420131177943093
std: 0.009416877793371975

recall: 0.8111276205660957
std: 0.00895433716691769

f1: 0.8262048917849608
std: 0.004509892118880701





[Random Forest]
accuracy: 0.8658070678127985
std: 0.007038064346491158

precision: 0.8771309215754493
std: 0.01224500673704655

recall: 0.8583142130773297
std: 0.012267799133353286

f1: 0.8675113926739766
std: 0.007507597037602477





[Gradient Boosting]
accuracy: 0.8621776504297994
std: 0.0054583503580628535

precision: 0.8649800528657888
std: 0.011571215182349428

recall: 0.8664347238227336
std: 0.008772530195903905

f1: 0.86559915475464
std: 0.0035910928466859494





[Adaptive Boosting]
accuracy: 0.8319006685768864
std: 0.004366429589555845

precision: 0.8330831738334957
std: 0.016917448822231715

recall: 0.8404748251567172
std: 0.008629699467910298

f1: 0.8365792313317606
std: 0.005223673002828496





[Bagging]
accuracy: 0.8650429799426934
std: 0.006482093410107802

precision: 0.8835884097648407
std: 0.010012756662883385

recall: 0.8482665408521765
std: 0.009433167581428526

f1: 0.8655106804734707
std: 0.006780495117597425
