[Logistic Regression]
accuracy: 0.6825214899713467
std: 0.011827175678474591

precision: 0.6396273249658895
std: 0.01941197245345744

recall: 0.8720779639114047
std: 0.006796474001565038

f1: 0.737721496832747
std: 0.010985457636536185





[Stochastic Gradient Descent]
accuracy: 0.47574021012416423
std: 0.06375842857064258

precision: 0.4766432540600574
std: 0.06559158896034517

recall: 0.4162833670407373
std: 0.13272373659975997

f1: 0.44027882150168673
std: 0.10174169084888247





[Neural Network]
accuracy: 0.7609360076408788
std: 0.013908576925747167

precision: 0.8138069058688329
std: 0.04437904919709747

recall: 0.6953008958270168
std: 0.020239887131574815

f1: 0.7487154709705791
std: 0.011288394194744224





[K-Nearest Neighbors]
accuracy: 0.8510028653295129
std: 0.006498959249743626

precision: 0.8459912919975208
std: 0.017165250086824638

recall: 0.8671066837038351
std: 0.009077490430239539

f1: 0.8562622885381476
std: 0.007550926483261373





[Naive Bayes]
accuracy: 0.5651384909264566
std: 0.015532212196628342

precision: 0.5418468370245287
std: 0.015797609580682773

recall: 0.978943724971278
std: 0.0014472157072299714

f1: 0.6974379059849021
std: 0.01305427702334068





[Decision Tree]
accuracy: 0.8201528175740209
std: 0.004169795597505869

precision: 0.8206146025177592
std: 0.011154113266054156

recall: 0.8306258479298656
std: 0.012980664847762878

f1: 0.8254390726053943
std: 0.004730768690055407





[Random Forest]
accuracy: 0.8658070678127985
std: 0.007038064346491158

precision: 0.8771309215754493
std: 0.01224500673704655

recall: 0.8583142130773297
std: 0.012267799133353286

f1: 0.8675113926739766
std: 0.007507597037602477





[Gradient Boosting]
accuracy: 0.8621776504297994
std: 0.0054583503580628535

precision: 0.8649800528657888
std: 0.011571215182349428

recall: 0.8664347238227336
std: 0.008772530195903905

f1: 0.86559915475464
std: 0.0035910928466859494





[Quadratic Discriminant Analysis]
accuracy: 0.5718242597898758
std: 0.018940577029514672

precision: 0.5469514592612793
std: 0.017893841802654117

recall: 0.9603107491263241
std: 0.010289547299979319

f1: 0.6967024468364259
std: 0.013439897359348918
